namelsad10,All Requests,Aircraft Noise Complaint,Pothole in Street Complaint,Rodent Baiting/Rat Complaint,Weed Removal Request,Street Light Out Complaint,Graffiti Removal Request
Census Tract 310,1367,1.0,112,79.0,3.0,99.0,259.0
Census Tract 3102,1030,1.0,114,8.0,5.0,82.0,362.0
Census Tract 3103,1303,12.0,143,18.0,24.0,91.0,425.0
Census Tract 3104,603,,34,16.0,6.0,37.0,221.0
Census Tract 3105,810,,55,7.0,4.0,151.0,284.0
Census Tract 3106,3495,,238,51.0,6.0,303.0,1255.0
Census Tract 3107,1088,1.0,81,11.0,3.0,132.0,340.0
Census Tract 3108,1933,3.0,162,65.0,6.0,177.0,645.0
Census Tract 3109,2243,,153,34.0,5.0,362.0,562.0
Census Tract 311,1663,1.0,121,108.0,2.0,119.0,181.0
Census Tract 312,1451,1.0,95,87.0,9.0,90.0,290.0
Census Tract 313,1142,1.0,115,29.0,1.0,159.0,75.0
Census Tract 314,1309,30.0,147,40.0,,179.0,212.0
Census Tract 315.01,419,,51,24.0,3.0,28.0,37.0
Census Tract 315.02,523,,40,34.0,,20.0,27.0
Census Tract 317,1720,2.0,122,125.0,10.0,72.0,199.0
Census Tract 318,779,1.0,47,73.0,1.0,56.0,189.0
Census Tract 319,871,,35,38.0,,99.0,141.0
Census Tract 3201,3730,6.0,412,52.0,2.0,186.0,795.0
Census Tract 3204,1816,12.0,320,44.0,4.0,135.0,172.0
Census Tract 3206,1377,12.0,128,45.0,5.0,69.0,445.0
Census Tract 321,1586,,100,60.0,4.0,220.0,194.0
Census Tract 3301,3554,25.0,378,83.0,18.0,377.0,376.0
Census Tract 3302,1351,15.0,152,42.0,2.0,179.0,192.0
Census Tract 3403,478,4.0,22,85.0,1.0,76.0,19.0
Census Tract 3404,545,8.0,5,99.0,15.0,45.0,107.0
Census Tract 3405,466,7.0,29,45.0,7.0,45.0,28.0
Census Tract 3406,258,1.0,16,5.0,6.0,28.0,16.0
Census Tract 3501,295,2.0,36,,1.0,62.0,15.0
Census Tract 3504,223,2.0,20,2.0,5.0,50.0,8.0
Census Tract 3510,436,,31,4.0,4.0,69.0,10.0
Census Tract 3511,164,,10,,14.0,5.0,3.0
Census Tract 3514,816,1.0,18,6.0,167.0,177.0,25.0
Census Tract 3515,232,,11,7.0,4.0,41.0,6.0
Census Tract 3602,300,,11,1.0,3.0,112.0,7.0
Census Tract 3801,1841,,35,16.0,928.0,128.0,13.0
Census Tract 3802,504,,25,22.0,114.0,31.0,3.0
Census Tract 3805,191,,17,1.0,6.0,11.0,22.0
Census Tract 3807,685,,28,40.0,72.0,109.0,3.0
Census Tract 3812,996,,34,25.0,332.0,93.0,17.0
Census Tract 3814,1050,,37,38.0,340.0,63.0,10.0
Census Tract 3815,239,1.0,9,3.0,42.0,27.0,14.0
Census Tract 3817,109,,5,1.0,3.0,33.0,4.0
Census Tract 3818,1060,10.0,13,18.0,305.0,170.0,6.0
Census Tract 3819,743,,27,13.0,223.0,96.0,2.0
Census Tract 3901,618,,47,4.0,136.0,73.0,14.0
Census Tract 3902,1015,,66,45.0,197.0,185.0,9.0
Census Tract 3903,939,,45,67.0,166.0,48.0,15.0
Census Tract 3904,690,,35,52.0,60.0,57.0,12.0
Census Tract 3905,422,,34,8.0,1.0,69.0,3.0
Census Tract 3906,543,,60,37.0,,82.0,2.0
Census Tract 3907,797,,114,22.0,5.0,93.0,30.0
Census Tract 4003,1374,,152,11.0,380.0,118.0,19.0
Census Tract 4004,1153,,19,19.0,514.0,91.0,27.0
Census Tract 4005,990,1.0,21,62.0,259.0,89.0,2.0
Census Tract 4008,1050,,44,13.0,403.0,72.0,20.0
Census Tract 401,1736,1.0,175,107.0,4.0,235.0,219.0
Census Tract 402.01,2649,1.0,274,228.0,6.0,127.0,468.0
Census Tract 402.02,1670,1.0,142,63.0,4.0,169.0,161.0
Census Tract 403,1477,,112,34.0,6.0,135.0,155.0
Census Tract 404.01,1687,3.0,160,169.0,2.0,111.0,257.0
Census Tract 404.02,1348,4.0,99,29.0,,147.0,230.0
Census Tract 406,1584,3.0,97,103.0,2.0,162.0,464.0
Census Tract 407,1897,1.0,101,153.0,8.0,85.0,541.0
Census Tract 408,972,,86,11.0,1.0,48.0,376.0
Census Tract 409,1013,,45,43.0,1.0,91.0,341.0
Census Tract 4101,388,,29,14.0,,37.0,9.0
