namelsad10,Number_of_Requests,Household_Income,color
Census Tract 505,2551,26522,#574249
Census Tract 506,1508,26522,#627f8c
Census Tract 507,606,26052,#64acbe
Census Tract 508,683,24490,#64acbe
Census Tract 509,742,21356,#64acbe
Census Tract 510,684,17918,#64acbe
Census Tract 5101,2449,10833,#985356
Census Tract 5102,2215,7556,#c85a5a
Census Tract 5103,4083,7181,#c85a5a
Census Tract 511,755,34470,#64acbe
Census Tract 512,771,33841,#64acbe
Census Tract 513,1133,33236,#64acbe
Census Tract 514,993,23760,#64acbe
Census Tract 5201,1298,8763,#ad9ea5
Census Tract 5202,1921,7493,#e4acac
Census Tract 5203,2705,11000,#985356
Census Tract 5204,2340,8981,#985356
Census Tract 5205,2414,8268,#985356
Census Tract 5206,1242,7182,#e4acac
Census Tract 5301,1833,5028,#e4acac
Census Tract 5302,5391,8114,#c85a5a
Census Tract 5303,3907,8216,#985356
Census Tract 5304,2097,8656,#985356
Census Tract 5305.01,4977,8912,#985356
Census Tract 5305.02,1402,6704,#e4acac
Census Tract 5305.03,4285,8940,#985356
Census Tract 5306,2502,8094,#c85a5a
Census Tract 5401.01,1001,7014,#e8e8e8
Census Tract 5401.02,1658,21117,#627f8c
Census Tract 5501,4854,12833,#574249
Census Tract 5502,2286,9197,#985356
Census Tract 5601,921,7690,#e8e8e8
Census Tract 5602,1301,6495,#e4acac
Census Tract 5603,1971,9709,#985356
Census Tract 5604,795,9116,#b0d5df
Census Tract 5607,1775,8763,#ad9ea5
Census Tract 5608,2833,10225,#985356
Census Tract 5609,3250,8401,#985356
Census Tract 5610,3411,10153,#985356
Census Tract 5611,2992,7915,#c85a5a
Census Tract 5701,804,10374,#b0d5df
Census Tract 5702,1562,13272,#627f8c
Census Tract 5703,3371,6434,#c85a5a
Census Tract 5704,972,5752,#e8e8e8
Census Tract 5705,1358,9677,#ad9ea5
Census Tract 5801,1806,6990,#e4acac
Census Tract 5802,1491,4202,#e4acac
Census Tract 5803,906,5730,#e8e8e8
Census Tract 5804,2630,7627,#c85a5a
Census Tract 5805.01,1982,6809,#c85a5a
Census Tract 5805.02,1876,15476,#627f8c
Census Tract 5806,2224,12521,#574249
Census Tract 5807,2481,6858,#c85a5a
Census Tract 5808,777,7163,#e8e8e8
Census Tract 5905,2038,8005,#c85a5a
Census Tract 5906,2484,8054,#c85a5a
Census Tract 5907,1923,7920,#e4acac
Census Tract 6004,1057,11624,#b0d5df
Census Tract 6006,1173,7779,#e4acac
Census Tract 6007,1193,13506,#627f8c
Census Tract 6009,1329,8215,#ad9ea5
Census Tract 601,1510,23414,#627f8c
Census Tract 602,891,32920,#64acbe
Census Tract 603,1926,21903,#627f8c
Census Tract 604,1433,18801,#627f8c
Census Tract 605,536,19011,#64acbe
Census Tract 608,449,11836,#b0d5df
Census Tract 609,856,10415,#b0d5df
Census Tract 610,631,17723,#64acbe
Census Tract 6103,2301,4614,#c85a5a
Census Tract 6104,716,6530,#e8e8e8
Census Tract 6108,703,12724,#64acbe
Census Tract 611,708,23346,#64acbe
Census Tract 6110,1044,7158,#e8e8e8
Census Tract 6111,1247,4408,#e4acac
Census Tract 6112,1364,3650,#e4acac
Census Tract 6113,1398,5255,#e4acac
Census Tract 6114,978,6267,#e8e8e8
Census Tract 6115,1444,9549,#ad9ea5
Census Tract 6116,1001,6483,#e8e8e8
